timestamp_utc,participant,stimulus_type,font_size,motion,input_mode,frame_motion,shaking,text_color_mode,background_mode,min_delay_sec,max_delay_sec,repetitions,trial,stimulus,reaction_time_ms
2025-11-24T07:22:46.073556,Petr,Letters,Small,Static,Text field + Enter,Static frame,False,Random colors,White,2.0,3.0,10,1,A,1830.21
2025-11-24T07:22:46.073556,Petr,Letters,Small,Static,Text field + Enter,Static frame,False,Random colors,White,2.0,3.0,10,2,T,3701.07
2025-11-24T07:22:46.073556,Petr,Letters,Small,Static,Text field + Enter,Static frame,False,Random colors,White,2.0,3.0,10,3,A,837.41
2025-11-24T07:22:46.073556,Petr,Letters,Small,Static,Text field + Enter,Static frame,False,Random colors,White,2.0,3.0,10,4,Z,1234.92
2025-11-24T07:22:46.073556,Petr,Letters,Small,Static,Text field + Enter,Static frame,False,Random colors,White,2.0,3.0,10,5,P,1085.47
2025-11-24T07:22:46.073556,Petr,Letters,Small,Static,Text field + Enter,Static frame,False,Random colors,White,2.0,3.0,10,6,X,1169.41
2025-11-24T07:22:46.073556,Petr,Letters,Small,Static,Text field + Enter,Static frame,False,Random colors,White,2.0,3.0,10,7,L,903.52
2025-11-24T07:22:46.073556,Petr,Letters,Small,Static,Text field + Enter,Static frame,False,Random colors,White,2.0,3.0,10,8,V,1119.16
2025-11-24T07:22:46.073556,Petr,Letters,Small,Static,Text field + Enter,Static frame,False,Random colors,White,2.0,3.0,10,9,H,898.55
2025-11-24T07:22:46.073556,Petr,Letters,Small,Static,Text field + Enter,Static frame,False,Random colors,White,2.0,3.0,10,10,G,1050.07
2025-11-24T07:26:05.302282,Petr,Letters,Large,Moving,Text field + Enter,Shaking frame,True,Black,White,2.0,7.0,10,1,W,1166.0
2025-11-24T07:26:05.302282,Petr,Letters,Large,Moving,Text field + Enter,Shaking frame,True,Black,White,2.0,7.0,10,2,V,3240.18
2025-11-24T07:26:05.302282,Petr,Letters,Large,Moving,Text field + Enter,Shaking frame,True,Black,White,2.0,7.0,10,3,J,1854.11
